Date,Regime,AccelZ,DivZ,SignalStrength
2022-01-06,FRAGILE_DIV,0.0877,2.5029,2.5029
2022-01-07,FRAGILE_DIV,0.0,1.0335,1.0335
2022-01-10,STABLE,0.0,0.165,0.165
2022-01-11,STABLE,0.272,0.8343,0.8343
2022-01-12,STABLE,0.5846,0.7728,0.7728
2022-01-13,FRAGILE_BOTH,1.1919,1.8145,1.8145
2022-01-14,FRAGILE_ACCEL,1.0062,0.0,1.0062
2022-01-17,FRAGILE_BOTH,1.1023,1.0044,1.1023
2022-01-18,STABLE,0.0,0.0,0.0
2022-01-19,STABLE,0.0,0.0,0.0
2022-01-20,FRAGILE_DIV,0.0,1.309,1.309
2022-01-21,STABLE,0.0,0.0,0.0
2022-01-24,STABLE,0.2801,0.0,0.2801
2022-01-25,FRAGILE_ACCEL,1.1767,0.0,1.1767
2022-01-26,STABLE,0.0,0.0,0.0
2022-01-27,FRAGILE_ACCEL,4.7419,0.0,4.7419
2022-01-28,STABLE,0.0,0.0,0.0
2022-01-31,STABLE,0.1764,0.2621,0.2621
2022-02-01,STABLE,0.0,0.3326,0.3326
2022-02-02,STABLE,0.0,0.5901,0.5901
2022-02-03,STABLE,0.7886,0.7476,0.7886
2022-02-04,STABLE,0.9252,0.0,0.9252
2022-02-07,STABLE,0.0,0.8616,0.8616
2022-02-08,STABLE,0.0,0.0,0.0
2022-02-09,FRAGILE_DIV,0.2059,1.3713,1.3713
2022-02-10,FRAGILE_ACCEL,1.434,0.0,1.434
2022-02-11,STABLE,0.0,0.3574,0.3574
2022-02-14,STABLE,0.9562,0.0,0.9562
2022-02-15,STABLE,0.0,0.6888,0.6888
2022-02-16,FRAGILE_DIV,0.0,1.5806,1.5806
2022-02-17,FRAGILE_DIV,0.0,1.3421,1.3421
2022-02-18,STABLE,0.1002,0.9096,0.9096
2022-02-21,STABLE,0.0,0.0,0.0
2022-02-22,STABLE,0.0,0.3122,0.3122
2022-02-23,STABLE,0.0,0.0,0.0
2022-02-24,FRAGILE_DIV,0.0,2.9846,2.9846
2022-02-25,STABLE,0.0,0.0,0.0
2022-02-28,STABLE,0.0,0.9357,0.9357
2022-03-01,FRAGILE_DIV,0.0,1.0721,1.0721
2022-03-02,STABLE,0.0,0.0,0.0
2022-03-03,FRAGILE_DIV,0.0,1.1708,1.1708
2022-03-04,STABLE,0.4515,0.0,0.4515
2022-03-07,STABLE,0.1059,0.0,0.1059
2022-03-08,STABLE,0.0,0.0,0.0
2022-03-09,STABLE,0.0756,0.0,0.0756
2022-03-10,STABLE,0.3953,0.0,0.3953
2022-03-11,STABLE,0.0,0.0,0.0
2022-03-14,STABLE,0.2143,0.0,0.2143
